blue,green,red,ndwi,brightness,label,source_file
0.2452704,0.180927,0.21191795,-0.07888832,0.21270512,0,GSL_2024_01.tif
0.2750777,0.21519752,0.22994225,-0.033123743,0.24007249,0,GSL_2024_01.tif
0.34103167,0.25645027,0.25710213,-0.0012693249,0.28486136,0,GSL_2024_01.tif
0.3703513,0.28239337,0.24358392,0.07378527,0.29877618,0,GSL_2024_01.tif
0.31262636,0.22724023,0.22839907,-0.0025433076,0.25608855,0,GSL_2024_01.tif
0.31000525,0.23486303,0.23142369,0.007375997,0.258764,0,GSL_2024_01.tif
0.27330998,0.20847152,0.22926325,-0.04749834,0.23701493,0,GSL_2024_01.tif
0.2968998,0.21225089,0.23315205,-0.0469263,0.24743424,0,GSL_2024_01.tif
0.2703841,0.19924732,0.22420163,-0.058930974,0.23127769,0,GSL_2024_01.tif
0.24203975,0.1745213,0.20605388,-0.08285485,0.2075383,0,GSL_2024_01.tif
0.24271026,0.16369565,0.20512798,-0.11233613,0.20384462,0,GSL_2024_01.tif
0.29488826,0.2219235,0.23957166,-0.038241185,0.2521278,0,GSL_2024_01.tif
0.26410568,0.18368144,0.21488085,-0.07827968,0.22088933,0,GSL_2024_01.tif
0.21936427,0.1464643,0.19315293,-0.13747385,0.18632717,0,GSL_2024_01.tif
0.20827034,0.12558171,0.18191862,-0.18320866,0.17192356,0,GSL_2024_01.tif
0.10896689,0.08606969,0.19029814,-0.3771353,0.12844491,1,GSL_2015_09.tif
0.12365384,0.09480457,0.19778231,-0.3519549,0.1387469,1,GSL_2015_09.tif
0.18783462,0.1478233,0.24120533,-0.24003834,0.19228776,1,GSL_2015_09.tif
0.14711714,0.11586309,0.20860101,-0.28581783,0.15719375,1,GSL_2015_09.tif
0.12031047,0.09087726,0.1861485,-0.34390625,0.13244541,1,GSL_2015_09.tif
0.101563714,0.07543886,0.17281038,-0.39223135,0.11660432,1,GSL_2015_09.tif
0.10389213,0.06711025,0.16977224,-0.43338603,0.11359153,1,GSL_2015_09.tif
0.09219033,0.06941246,0.17192116,-0.42475754,0.11117465,1,GSL_2015_09.tif
0.105205595,0.081160545,0.17318088,-0.361797,0.119849004,1,GSL_2015_09.tif
0.099235296,0.07818121,0.1707726,-0.37192047,0.116063036,1,GSL_2015_09.tif
0.15541586,0.121821776,0.2267557,-0.30103382,0.16799778,1,GSL_2015_09.tif
0.14126624,0.117183484,0.20960137,-0.28280872,0.15601702,1,GSL_2015_09.tif
0.13072865,0.11291761,0.20519239,-0.290071,0.14961289,1,GSL_2015_09.tif
0.13959455,0.11559225,0.20745245,-0.28435665,0.15421309,1,GSL_2015_09.tif
0.14735594,0.11213892,0.20593339,-0.29488316,0.15514275,1,GSL_2015_09.tif
0.12875845,0.09957829,0.20663735,-0.34961867,0.14499135,1,GSL_2015_09.tif
0.121743344,0.10827932,0.19207655,-0.27899224,0.14069973,1,GSL_2015_09.tif
0.17147598,0.14152606,0.23179454,-0.24179816,0.18159886,1,GSL_2015_09.tif
0.19305862,0.1527663,0.23564778,-0.21338378,0.19382423,1,GSL_2015_09.tif
0.18395391,0.1417969,0.22416216,-0.22506626,0.18330431,1,GSL_2015_09.tif
0.1318033,0.1103784,0.20333986,-0.29632053,0.1485072,1,GSL_2015_09.tif
0.12625092,0.10536769,0.19066864,-0.28814253,0.14076242,1,GSL_2015_09.tif
0.13001221,0.09866417,0.18855678,-0.3129726,0.13907772,1,GSL_2015_09.tif
0.10839971,0.08691609,0.17740461,-0.34234238,0.12424014,1,GSL_2015_09.tif
0.110638574,0.08874432,0.18707475,-0.3565021,0.12881921,1,GSL_2015_09.tif
0.36025083,0.26407105,0.24796295,0.031458974,0.29076162,0,GSL_1992_02.tif
0.33290297,0.2553753,0.2503378,0.009961135,0.2795387,0,GSL_1992_02.tif
0.337742,0.26858297,0.2618027,0.012783629,0.2893759,0,GSL_1992_02.tif
0.337742,0.26858297,0.2618027,0.012783629,0.2893759,0,GSL_1992_02.tif
0.34533048,0.27293083,0.2750283,-0.003827756,0.2977632,0,GSL_1992_02.tif
0.34566042,0.25517023,0.24288563,0.024665037,0.28123876,0,GSL_1992_02.tif
0.30097273,0.22329955,0.22622061,-0.006498158,0.2501643,0,GSL_1992_02.tif
0.30203584,0.2385991,0.24333605,-0.009828988,0.26132366,0,GSL_1992_02.tif
0.30203584,0.2385991,0.24333605,-0.009828988,0.26132366,0,GSL_1992_02.tif
0.3013393,0.23076475,0.23563819,-0.010448967,0.2559141,0,GSL_1992_02.tif
0.27659428,0.2164496,0.22265829,-0.01413929,0.2385674,0,GSL_1992_02.tif
0.29048815,0.23096983,0.23690751,-0.01269065,0.2527885,0,GSL_1992_02.tif
0.2778407,0.22588366,0.23080656,-0.010779486,0.24484365,0,GSL_1992_02.tif
0.2778407,0.22588366,0.23080656,-0.010779486,0.24484365,0,GSL_1992_02.tif
0.26226047,0.20311889,0.21766289,-0.034564137,0.22768076,0,GSL_1992_02.tif
0.28953502,0.22637586,0.22286303,0.007819496,0.24625798,0,GSL_1992_02.tif
0.29976296,0.22986236,0.23019236,-0.0007173068,0.25327256,0,GSL_1992_02.tif
0.29976296,0.22986236,0.23019236,-0.0007173068,0.25327256,0,GSL_1992_02.tif
0.27619103,0.2299444,0.22765371,0.0050058686,0.24459636,0,GSL_1992_02.tif
0.2672095,0.2136604,0.21864559,-0.011531581,0.23317182,0,GSL_1992_02.tif
0.28997493,0.22334057,0.22622061,-0.0064063147,0.24651204,0,GSL_1992_02.tif
0.2769242,0.21579333,0.2184818,-0.006190687,0.23706643,0,GSL_1992_02.tif
0.2769242,0.21579333,0.2184818,-0.006190687,0.23706643,0,GSL_1992_02.tif
0.2782806,0.22465312,0.22605681,-0.0031143893,0.24299686,0,GSL_1992_02.tif
0.25489196,0.20184734,0.20591137,-0.0099667115,0.22088356,0,GSL_1992_02.tif
0.34047517,0.22661123,0.20550221,0.048850518,0.25752953,0,GSL_1996_04.tif
0.3360329,0.21054152,0.18074566,0.07614811,0.24244003,0,GSL_1996_04.tif
0.32251465,0.20125191,0.17821753,0.060701374,0.23399471,0,GSL_1996_04.tif
0.30083948,0.17730144,0.16114077,0.04775001,0.21309389,0,GSL_1996_04.tif
0.26258242,0.14868416,0.1358595,0.045070793,0.18237536,0,GSL_1996_04.tif
0.30367333,0.19249062,0.17530781,0.046717882,0.22382392,0,GSL_1996_04.tif
0.3088815,0.19169813,0.1752124,0.04493109,0.225264,0,GSL_1996_04.tif
0.3071965,0.18430167,0.17015615,0.03990738,0.22055145,0,GSL_1996_04.tif
0.28521496,0.166647,0.15551211,0.034563225,0.20245802,0,GSL_1996_04.tif
0.24680473,0.14445761,0.12732112,0.06305284,0.17286116,0,GSL_1996_04.tif
0.3204467,0.20490612,0.17960085,0.06581208,0.23498456,0,GSL_1996_04.tif
0.29386973,0.18060344,0.16319188,0.050644983,0.212555,0,GSL_1996_04.tif
0.29459733,0.16814391,0.15894654,0.028118648,0.20722926,0,GSL_1996_04.tif
0.24806848,0.1355202,0.12064306,0.05807659,0.16807725,0,GSL_1996_04.tif
0.2545021,0.1333629,0.12064306,0.050076764,0.16950269,0,GSL_1996_04.tif
0.32596123,0.20323311,0.18265368,0.05333008,0.23728268,0,GSL_1996_04.tif
0.2644589,0.16281669,0.13781524,0.08316271,0.18836361,0,GSL_1996_04.tif
0.22578059,0.13164586,0.106523715,0.10547963,0.15465005,0,GSL_1996_04.tif
0.25511482,0.16193616,0.1343808,0.09299254,0.18381059,0,GSL_1996_04.tif
0.25511482,0.15040119,0.12798893,0.080506355,0.17783499,0,GSL_1996_04.tif
0.3155449,0.19099371,0.16691253,0.06728332,0.22448371,0,GSL_1996_04.tif
0.21452175,0.09448742,0.092308976,0.011662076,0.13377272,0,GSL_1996_04.tif
0.2519746,0.14309278,0.12388669,0.07193819,0.17298467,0,GSL_1996_04.tif
0.2280783,0.13446356,0.12884754,0.021328393,0.16379647,0,GSL_1996_04.tif
0.19476135,0.09193388,0.09221357,-0.001518855,0.12630294,0,GSL_1996_04.tif
0.10476996,0.06623098,0.092771545,-0.16691807,0.08792416,0,GSL_2013_01.tif
0.07688684,0.03709955,0.07977225,-0.36512086,0.064586215,0,GSL_2013_01.tif
0.07002612,0.0281797,0.07404375,-0.4486603,0.057416525,0,GSL_2013_01.tif
0.07002612,0.030815111,0.06662607,-0.36750987,0.055822432,0,GSL_2013_01.tif
0.06925567,0.029477132,0.06357822,-0.36645627,0.054103673,0,GSL_2013_01.tif
0.12544383,0.08672637,0.11023246,-0.11934459,0.107467555,0,GSL_2013_01.tif
0.12544383,0.08672637,0.11023246,-0.11934459,0.107467555,0,GSL_2013_01.tif
0.10033067,0.06029117,0.079221435,-0.13568759,0.07994776,0,GSL_2013_01.tif
0.10110113,0.05656105,0.075732924,-0.14491764,0.07779837,0,GSL_2013_01.tif
0.09959691,0.06081825,0.07540243,-0.10706211,0.07860586,0,GSL_2013_01.tif
0.110163145,0.06831904,0.08755714,-0.12341832,0.08867977,0,GSL_2013_01.tif
0.110163145,0.06831904,0.08755714,-0.12341832,0.08867977,0,GSL_2013_01.tif
0.25410977,0.23887068,0.2450175,-0.012702947,0.24599932,0,GSL_2013_01.tif
0.24882665,0.2336404,0.23871982,-0.01075325,0.24039562,0,GSL_2013_01.tif
0.23495847,0.2229974,0.22689562,-0.008664748,0.22828382,0,GSL_2013_01.tif
0.11467581,0.074360214,0.095415466,-0.124017335,0.09481716,0,GSL_2013_01.tif
0.11467581,0.074360214,0.095415466,-0.124017335,0.09481716,0,GSL_2013_01.tif
0.25381625,0.24008702,0.24766143,-0.015529303,0.24718823,0,GSL_2013_01.tif
0.24486431,0.23218079,0.23947261,-0.015460098,0.23883922,0,GSL_2013_01.tif
0.24214937,0.2296062,0.23306477,-0.0074752187,0.23494011,0,GSL_2013_01.tif
0.077217035,0.037626635,0.071730316,-0.31185368,0.062191326,0,GSL_2013_01.tif
0.07098002,0.029355498,0.061485108,-0.35368824,0.053940207,0,GSL_2013_01.tif
0.07380502,0.03657247,0.07371326,-0.3367657,0.06136358,0,GSL_2013_01.tif
0.07340145,0.03555885,0.07121622,-0.33394533,0.060058843,0,GSL_2013_01.tif
0.07180551,0.031889547,0.06792968,-0.3610504,0.057208244,0,GSL_2013_01.tif
0.78515106,0.78194577,0.8184609,-0.022816135,0.79518586,0,GSL_2025_10.tif
0.7676665,0.753942,0.7973384,-0.027974559,0.77298236,0,GSL_2025_10.tif
0.7680148,0.753942,0.78682065,-0.021339184,0.76959246,0,GSL_2025_10.tif
0.7799266,0.76719826,0.81281084,-0.028868534,0.78664523,0,GSL_2025_10.tif
0.7827826,0.77167225,0.77891064,-0.004668169,0.77778846,0,GSL_2025_10.tif
0.7884947,0.7850113,0.8308909,-0.028392544,0.8014657,0,GSL_2025_10.tif
0.78501177,0.77498627,0.8113331,-0.022912681,0.7904437,0,GSL_2025_10.tif
0.77923,0.7681096,0.7922969,-0.01550061,0.7798788,0,GSL_2025_10.tif
0.7772099,0.76396704,0.7800406,-0.010410295,0.77373916,0,GSL_2025_10.tif
0.77539873,0.7602387,0.77630293,-0.010454787,0.7706468,0,GSL_2025_10.tif
0.79601794,0.79072803,0.8355848,-0.027581876,0.8074436,0,GSL_2025_10.tif
0.79323155,0.7843485,0.82958704,-0.028029948,0.80238897,0,GSL_2025_10.tif
0.7905148,0.7812001,0.8062046,-0.015751805,0.7926399,0,GSL_2025_10.tif
0.79734147,0.7858398,0.785256,0.00037156712,0.7894791,0,GSL_2025_10.tif
0.75756586,0.73869735,0.78412604,-0.029831868,0.76012975,0,GSL_2025_10.tif
0.79030585,0.78658545,0.82211167,-0.02208383,0.79966766,0,GSL_2025_10.tif
0.7833399,0.7722522,0.81793934,-0.02873057,0.7911772,0,GSL_2025_10.tif
0.7940675,0.78360283,0.8219378,-0.023876658,0.79986936,0,GSL_2025_10.tif
0.79504275,0.78310573,0.80507463,-0.013832741,0.79440767,0,GSL_2025_10.tif
0.74349463,0.7244469,0.77013135,-0.030566769,0.7460243,0,GSL_2025_10.tif
0.7924653,0.78641975,0.8388879,-0.032281946,0.80592424,0,GSL_2025_10.tif
